gender,languages_selected,education_level,major_field_of_study,cgpa,current_year,current_semester,experties_major_gpa,experties_suggest_career,student_programming_learned,mind_stress_management,learning_style,student_expectation,preferred_work_environment,work_life_balance,internship_experience,real_world_projects_completed,certifications
male,"sinhala, tamil",bachelor's degree,computer science,3.83,3,2,2.91,AR/VR Developer,"Unreal Engine, XR SDKs, Unity, 3D Modeling",excellent,kinesthetic,qa engineer,remote,average,no,1,cisco
female,tamil,bachelor's degree,cyber security,3.3,1,2,3.95,SEO Specialist,"SEO Tools, Backlinks, Content Strategy, Keyword Research",moderate,visual,security engineer,hybrid,poor,yes,0,none
female,english,bachelor's degree,data science,2.3,1,1,3.38,IT Support Specialist,"Windows, Networking, Hardware, Ticketing Systems",moderate,auditory,qa engineer,hybrid,poor,yes,3,aws
female,english,bachelor's degree,information technology,4.0,2,2,3.07,Software Engineer,"SQL, Git, OOP, Spring Boot",low,auditory,security engineer,remote,excellent,no,12,aws
male,"tamil, english",bachelor's degree,data science,3.51,2,1,3.9,Full Stack Developer,"React, REST API, MongoDB, Express",excellent,auditory,qa engineer,remote,average,yes,12,none
male,tamil,bachelor's degree,cyber security,3.11,2,2,3.55,Frontend Developer,"HTML, React, CSS, JavaScript",moderate,kinesthetic,data scientist,remote,poor,no,2,aws
male,tamil,bachelor's degree,information technology,2.72,2,1,3.36,Backend Developer,"Microservices, Java, REST API, Node.js",excellent,visual,qa engineer,onsite,poor,no,11,cisco
female,tamil,bachelor's degree,computer science,3.89,2,2,2.64,Web Developer,"Bootstrap, JavaScript, PHP, HTML",low,visual,data scientist,remote,average,yes,12,cisco
female,"english, sinhala",bachelor's degree,computer science,3.74,1,1,3.4,Mobile App Developer,"Swift, Kotlin, REST API, Flutter",excellent,auditory,qa engineer,remote,average,yes,5,cisco
female,english,bachelor's degree,data science,3.17,3,1,2.66,Data Scientist,"Tableau, Pandas, NumPy, SQL",moderate,kinesthetic,security engineer,remote,poor,yes,6,azure
male,"english, sinhala",bachelor's degree,cyber security,2.33,2,2,3.5,Data Analyst,"Excel, SQL, Data Visualization, Power BI",low,visual,data scientist,hybrid,excellent,yes,12,azure
female,"sinhala, tamil",bachelor's degree,computer science,2.46,2,1,3.95,Machine Learning Engineer,"Pandas, TensorFlow, Scikit-learn, NumPy",excellent,auditory,software engineer,remote,excellent,yes,9,google
male,"english, sinhala, tamil",bachelor's degree,information technology,3.46,2,1,2.5,AI Engineer,"LLMs, TensorFlow, PyTorch, NLP",low,kinesthetic,systems analyst,hybrid,poor,yes,10,aws
male,"english, sinhala",bachelor's degree,cyber security,3.54,1,1,2.92,BI Developer,"Power BI, DAX, Excel, ETL Tools",moderate,auditory,data scientist,onsite,average,yes,6,none
female,sinhala,bachelor's degree,cyber security,3.31,2,2,3.9,DevOps Engineer,"CI/CD, Docker, AWS, Jenkins",moderate,kinesthetic,devops engineer,hybrid,average,no,6,aws
female,tamil,bachelor's degree,software engineering,3.61,4,1,2.39,Cloud Engineer,"Azure, AWS, Kubernetes, Terraform",low,visual,security engineer,onsite,excellent,yes,11,aws
female,tamil,bachelor's degree,cyber security,2.45,4,1,2.48,Cloud Architect,"Microservices, Networking, IaC, Scalability",low,auditory,systems analyst,onsite,excellent,yes,8,azure
female,"tamil, english",bachelor's degree,computer science,2.77,4,1,2.87,Cybersecurity Analyst,"Risk Analysis, Linux, SIEM, Python",low,auditory,systems analyst,onsite,poor,yes,11,aws
male,sinhala,bachelor's degree,cyber security,3.83,2,1,3.98,Ethical Hacker,"Nmap, Wireshark, Burp Suite, Python",low,auditory,data scientist,onsite,excellent,no,5,aws
male,"tamil, english",bachelor's degree,computer science,3.46,2,1,3.02,Security Engineer,"IAM, Encryption, Linux, SIEM",moderate,kinesthetic,security engineer,remote,excellent,no,2,aws
male,"tamil, english",bachelor's degree,data science,3.24,1,1,2.88,Information Security Analyst,"Compliance, SOC Tools, Networking, Incident Response",moderate,visual,security engineer,onsite,average,yes,10,aws
male,"sinhala, tamil",bachelor's degree,computer science,3.38,4,2,3.12,Network Engineer,"Switching, Routing, Firewalls, TCP/IP",excellent,auditory,qa engineer,remote,poor,yes,4,none
male,"tamil, english",bachelor's degree,software engineering,3.66,2,1,3.19,System Administrator,"Networking, Active Directory, Bash, Windows Server",excellent,visual,devops engineer,onsite,average,yes,1,none
male,english,bachelor's degree,information technology,2.52,3,1,2.57,IT Support Engineer,"Networking, Troubleshooting, Windows, Hardware",low,visual,systems analyst,onsite,poor,no,7,none
female,"tamil, english",bachelor's degree,cyber security,2.98,2,1,3.81,Hardware Engineer,"Embedded C, Electronics, Circuit Design, Arduino",excellent,auditory,devops engineer,remote,poor,no,7,none
male,sinhala,bachelor's degree,computer science,3.99,4,1,2.28,QA Engineer,"Jira, Test Cases, API Testing, Selenium",moderate,visual,data scientist,remote,average,yes,6,azure
female,"tamil, english",bachelor's degree,software engineering,3.03,3,1,3.4,Software Tester,"SQL, Selenium, Test Plans, Manual Testing",moderate,visual,devops engineer,hybrid,poor,no,1,aws
male,"sinhala, tamil",bachelor's degree,data science,3.2,1,2,2.84,Automation Test Engineer,"Java, Selenium, Python, TestNG",excellent,kinesthetic,qa engineer,onsite,excellent,no,7,google
male,sinhala,bachelor's degree,data science,2.35,1,1,2.27,UI Designer,"Figma, Color Theory, Adobe XD, Photoshop",low,kinesthetic,software engineer,onsite,average,no,6,aws
male,"english, sinhala, tamil",bachelor's degree,data science,2.14,4,1,2.35,UX Designer,"User Research, UX Testing, Figma, Wireframing",excellent,kinesthetic,software engineer,onsite,average,no,10,cisco
female,"sinhala, tamil",bachelor's degree,cyber security,3.91,1,1,3.97,Product Designer,"Design Systems, Figma, UX Research, Prototyping",moderate,visual,data scientist,hybrid,excellent,no,12,cisco
male,"tamil, english",bachelor's degree,information technology,2.76,1,1,2.86,Blockchain Developer,"Node.js, Solidity, Smart Contracts, Web3.js",moderate,kinesthetic,security engineer,remote,average,yes,2,aws
male,"sinhala, tamil",bachelor's degree,software engineering,2.43,2,1,3.7,IoT Engineer,"Raspberry Pi, C/C++, Sensors, Cloud Integration",excellent,auditory,data scientist,onsite,average,yes,2,azure
male,english,bachelor's degree,software engineering,3.31,4,2,2.4,Embedded Systems Engineer,"IoT, RTOS, Electronics, PCB Design",excellent,kinesthetic,systems analyst,remote,excellent,no,5,azure
male,"tamil, english",bachelor's degree,data science,3.08,2,2,3.48,AR/VR Developer,"Unity, C#, Unreal Engine, XR SDKs",excellent,visual,data scientist,remote,poor,no,7,google
male,tamil,bachelor's degree,data science,3.17,3,1,3.04,SEO Specialist,"Keyword Research, SEO Tools, Backlinks, HTML",moderate,kinesthetic,security engineer,remote,poor,yes,5,google
male,english,bachelor's degree,information technology,3.87,4,1,3.57,IT Support Specialist,"Hardware, Ticketing Systems, Troubleshooting, Windows",low,visual,devops engineer,hybrid,average,no,12,aws
female,tamil,bachelor's degree,cyber security,3.15,1,1,3.65,Software Engineer,"Git, Python, OOP, Spring Boot",moderate,kinesthetic,data scientist,hybrid,average,yes,10,none
female,sinhala,bachelor's degree,cyber security,3.05,2,1,3.4,Full Stack Developer,"MongoDB, React, REST API, Express",moderate,kinesthetic,data scientist,hybrid,average,no,2,google
male,"sinhala, tamil",bachelor's degree,computer science,2.32,3,2,3.45,Frontend Developer,"Tailwind CSS, CSS, TypeScript, React",excellent,auditory,security engineer,onsite,poor,no,12,google
female,"english, sinhala",bachelor's degree,computer science,3.03,3,2,2.4,Backend Developer,"Microservices, SQL, REST API, Node.js",moderate,visual,systems analyst,onsite,average,no,7,google
male,tamil,bachelor's degree,information technology,2.65,1,1,3.68,Web Developer,"MySQL, PHP, JavaScript, Bootstrap",low,kinesthetic,software engineer,remote,excellent,no,5,cisco
male,tamil,bachelor's degree,software engineering,3.68,1,2,2.4,Mobile App Developer,"Java, Firebase, REST API, Swift",excellent,visual,data scientist,hybrid,excellent,yes,6,azure
male,"sinhala, tamil",bachelor's degree,cyber security,3.02,3,2,3.21,Data Scientist,"SQL, Python, Pandas, Tableau",moderate,kinesthetic,systems analyst,onsite,poor,no,11,google
female,"english, sinhala",bachelor's degree,computer science,2.72,4,2,3.64,Data Analyst,"Python, Power BI, SQL, Statistics",low,visual,security engineer,onsite,average,yes,9,azure
male,"english, sinhala",bachelor's degree,information technology,2.72,2,1,3.13,Machine Learning Engineer,"Deep Learning, Pandas, Python, Scikit-learn",moderate,visual,devops engineer,remote,excellent,no,3,cisco
female,"tamil, english",bachelor's degree,computer science,2.87,4,1,3.78,AI Engineer,"LLMs, NLP, TensorFlow, PyTorch",moderate,visual,data scientist,onsite,average,no,6,cisco
male,tamil,bachelor's degree,information technology,2.72,4,1,2.97,BI Developer,"SQL, ETL Tools, Power BI, Excel",low,visual,security engineer,onsite,excellent,no,1,google
female,"english, sinhala",bachelor's degree,information technology,2.84,4,2,2.39,DevOps Engineer,"Kubernetes, AWS, Docker, Jenkins",moderate,kinesthetic,data scientist,hybrid,poor,yes,4,cisco
male,"english, sinhala, tamil",bachelor's degree,computer science,3.62,2,2,3.28,Cloud Engineer,"Terraform, GCP, Kubernetes, Azure",moderate,visual,systems analyst,hybrid,excellent,no,5,cisco
male,"tamil, english",bachelor's degree,software engineering,3.49,1,1,2.7,Cloud Architect,"Scalability, IaC, AWS/Azure Design, Microservices",low,visual,devops engineer,hybrid,average,yes,3,none
male,"english, sinhala, tamil",bachelor's degree,computer science,4.0,4,2,3.56,Cybersecurity Analyst,"Firewalls, Linux, Risk Analysis, SIEM",excellent,kinesthetic,data scientist,onsite,average,yes,9,none
female,tamil,bachelor's degree,cyber security,2.72,2,2,3.18,Ethical Hacker,"Burp Suite, Metasploit, Wireshark, Kali Linux",excellent,auditory,security engineer,remote,poor,no,9,google
male,"english, sinhala",bachelor's degree,software engineering,3.53,2,1,4.0,Security Engineer,"Encryption, IAM, SIEM, Cloud Security",moderate,visual,systems analyst,hybrid,average,no,2,azure
female,english,bachelor's degree,cyber security,3.03,4,2,2.91,Information Security Analyst,"Risk Assessment, Networking, SIEM, Compliance",low,kinesthetic,qa engineer,onsite,excellent,yes,0,azure
male,"sinhala, tamil",bachelor's degree,data science,3.85,2,2,2.59,Network Engineer,"Switching, Cisco, Routing, Firewalls",low,visual,qa engineer,remote,excellent,yes,1,none
male,english,bachelor's degree,cyber security,3.2,1,1,2.78,System Administrator,"Virtualization, Linux, Active Directory, Networking",low,visual,data scientist,hybrid,excellent,yes,8,cisco
female,"english, sinhala",bachelor's degree,information technology,3.55,1,2,3.1,IT Support Engineer,"Troubleshooting, Active Directory, Windows, Ticketing Tools",low,kinesthetic,security engineer,onsite,excellent,no,4,azure
female,"sinhala, tamil",bachelor's degree,cyber security,2.93,1,2,2.72,Hardware Engineer,"Microcontrollers, Embedded C, Circuit Design, Electronics",excellent,visual,security engineer,remote,poor,yes,9,azure
female,tamil,bachelor's degree,data science,3.14,2,1,2.93,QA Engineer,"API Testing, Test Cases, Manual Testing, SQL",excellent,visual,data scientist,hybrid,poor,no,12,google
female,sinhala,bachelor's degree,cyber security,2.54,2,1,2.88,Software Tester,"Bug Tracking, Manual Testing, SQL, Agile",excellent,kinesthetic,data scientist,remote,average,yes,5,aws
female,tamil,bachelor's degree,cyber security,2.05,4,1,2.42,Automation Test Engineer,"Java, TestNG, Selenium, Cypress",excellent,visual,data scientist,onsite,average,yes,10,azure
female,"english, sinhala, tamil",bachelor's degree,data science,3.47,2,1,2.95,UI Designer,"Figma, UI Principles, Adobe XD, Color Theory",excellent,kinesthetic,systems analyst,remote,excellent,yes,3,aws
male,"english, sinhala",bachelor's degree,cyber security,3.13,4,1,2.62,UX Designer,"Psychology, User Research, Wireframing, Prototyping",moderate,auditory,software engineer,hybrid,excellent,no,6,cisco
female,"english, sinhala",bachelor's degree,software engineering,3.55,4,2,3.35,Product Designer,"Design Systems, Prototyping, User Flow, Figma",excellent,visual,software engineer,onsite,poor,no,9,none
female,"tamil, english",bachelor's degree,cyber security,2.84,2,2,3.1,Blockchain Developer,"Cryptography, Solidity, Web3.js, Ethereum",moderate,visual,software engineer,onsite,excellent,no,3,aws
female,"english, sinhala",bachelor's degree,computer science,3.57,2,2,3.36,IoT Engineer,"C/C++, Arduino, MQTT, Raspberry Pi",low,auditory,systems analyst,hybrid,average,no,10,google
female,tamil,bachelor's degree,software engineering,3.09,2,1,3.29,Embedded Systems Engineer,"PCB Design, C/C++, RTOS, Microcontrollers",moderate,auditory,software engineer,remote,poor,yes,11,google
male,"tamil, english",bachelor's degree,information technology,3.33,2,1,3.29,AR/VR Developer,"Blender, 3D Modeling, Unity, Unreal Engine",moderate,kinesthetic,security engineer,hybrid,average,yes,3,cisco
male,english,bachelor's degree,software engineering,2.01,2,2,2.82,SEO Specialist,"Keyword Research, SEO Tools, Content Strategy, Backlinks",moderate,auditory,systems analyst,hybrid,average,yes,0,cisco
female,tamil,bachelor's degree,cyber security,3.17,4,2,2.97,IT Support Specialist,"Ticketing Systems, Windows, Active Directory, Troubleshooting",low,auditory,data scientist,onsite,average,yes,11,aws
male,tamil,bachelor's degree,information technology,3.68,1,2,2.98,Software Engineer,"Spring Boot, Python, OOP, Git",low,visual,qa engineer,hybrid,excellent,yes,1,cisco
male,english,bachelor's degree,information technology,3.93,2,2,3.32,Full Stack Developer,"REST API, MongoDB, Node.js, Express",moderate,auditory,data scientist,hybrid,average,no,12,cisco
female,"sinhala, tamil",bachelor's degree,cyber security,2.92,1,2,2.55,Frontend Developer,"HTML, JavaScript, CSS, Tailwind CSS",moderate,kinesthetic,software engineer,remote,average,no,6,none
female,sinhala,bachelor's degree,cyber security,2.47,4,1,3.91,Backend Developer,"SQL, Spring Boot, Java, REST API",moderate,auditory,security engineer,onsite,poor,yes,1,azure
male,english,bachelor's degree,computer science,2.7,4,1,3.04,Web Developer,"CSS, PHP, JavaScript, MySQL",moderate,auditory,systems analyst,onsite,average,yes,10,azure
female,sinhala,bachelor's degree,cyber security,2.83,2,1,2.45,Mobile App Developer,"Kotlin, Swift, Java, Firebase",moderate,auditory,software engineer,remote,average,no,11,aws
female,"sinhala, tamil",bachelor's degree,computer science,3.05,1,1,2.71,Data Scientist,"SQL, Pandas, Machine Learning, NumPy",excellent,visual,security engineer,remote,excellent,no,5,aws
male,english,bachelor's degree,cyber security,3.78,2,1,3.03,Data Analyst,"Python, Power BI, Excel, SQL",excellent,auditory,qa engineer,remote,excellent,yes,11,aws
female,english,bachelor's degree,software engineering,2.84,2,1,3.82,Machine Learning Engineer,"Deep Learning, NumPy, TensorFlow, Python",low,kinesthetic,systems analyst,onsite,poor,yes,1,aws
female,"sinhala, tamil",bachelor's degree,information technology,3.68,2,2,3.37,AI Engineer,"TensorFlow, LLMs, NLP, Python",excellent,auditory,devops engineer,hybrid,poor,yes,10,cisco
female,english,bachelor's degree,cyber security,2.99,1,2,3.87,BI Developer,"DAX, SQL, ETL Tools, Power BI",moderate,visual,data scientist,hybrid,average,yes,1,google
female,"english, sinhala, tamil",bachelor's degree,cyber security,3.64,3,1,3.65,DevOps Engineer,"Docker, Linux, Kubernetes, Jenkins",low,auditory,devops engineer,hybrid,average,yes,11,azure
female,"english, sinhala, tamil",bachelor's degree,computer science,2.27,1,2,2.68,Cloud Engineer,"Docker, AWS, Azure, GCP",moderate,visual,security engineer,hybrid,excellent,no,6,aws
female,"english, sinhala, tamil",bachelor's degree,cyber security,3.83,1,1,3.13,Cloud Architect,"Scalability, Security, Networking, Microservices",low,visual,systems analyst,hybrid,excellent,no,0,aws
female,"english, sinhala",bachelor's degree,computer science,2.87,1,2,3.2,Cybersecurity Analyst,"Python, Networking, Risk Analysis, SIEM",moderate,auditory,systems analyst,hybrid,poor,yes,3,cisco
male,"english, sinhala, tamil",bachelor's degree,cyber security,3.39,2,2,2.67,Ethical Hacker,"Python, Nmap, Kali Linux, Wireshark",low,visual,data scientist,hybrid,poor,yes,0,google
male,"sinhala, tamil",bachelor's degree,data science,2.79,4,2,3.98,Security Engineer,"Cloud Security, IAM, SIEM, Linux",moderate,visual,software engineer,remote,average,no,12,google
female,"english, sinhala, tamil",bachelor's degree,computer science,2.09,4,1,2.98,Information Security Analyst,"SIEM, Networking, Risk Assessment, SOC Tools",excellent,auditory,security engineer,remote,excellent,no,0,azure
female,"sinhala, tamil",bachelor's degree,software engineering,2.94,4,2,3.12,Network Engineer,"TCP/IP, VPN, Cisco, Routing",excellent,kinesthetic,data scientist,hybrid,poor,yes,1,cisco
female,"english, sinhala",bachelor's degree,data science,3.5,3,1,3.46,System Administrator,"Linux, Windows Server, Active Directory, Virtualization",moderate,kinesthetic,qa engineer,remote,average,no,5,none
female,english,bachelor's degree,information technology,3.45,4,1,2.64,IT Support Engineer,"Troubleshooting, Windows, Networking, Hardware",moderate,auditory,qa engineer,hybrid,poor,no,12,aws
female,"english, sinhala",bachelor's degree,computer science,2.56,2,2,3.97,Hardware Engineer,"Arduino, Embedded C, Circuit Design, Electronics",low,visual,data scientist,remote,poor,yes,0,azure
female,sinhala,bachelor's degree,data science,3.54,2,2,3.58,QA Engineer,"SQL, Selenium, Test Cases, Jira",excellent,visual,security engineer,remote,average,no,1,azure
male,"tamil, english",bachelor's degree,software engineering,2.73,4,1,3.24,Software Tester,"Agile, Bug Tracking, Selenium, Test Plans",low,auditory,data scientist,onsite,excellent,no,9,cisco
male,sinhala,bachelor's degree,information technology,2.43,4,2,2.4,Automation Test Engineer,"CI/CD, TestNG, Java, Python",moderate,visual,qa engineer,onsite,excellent,no,12,aws
male,"english, sinhala",bachelor's degree,data science,2.95,3,2,3.38,UI Designer,"Prototyping, Photoshop, Color Theory, Figma",moderate,visual,security engineer,hybrid,excellent,yes,0,azure
female,"sinhala, tamil",bachelor's degree,cyber security,2.85,4,1,3.51,UX Designer,"User Research, Psychology, UX Testing, Prototyping",moderate,visual,qa engineer,hybrid,excellent,no,7,google
male,"tamil, english",bachelor's degree,cyber security,3.71,2,2,3.4,Product Designer,"UX Research, Prototyping, User Flow, Figma",excellent,kinesthetic,devops engineer,remote,average,no,3,aws
female,"english, sinhala",bachelor's degree,data science,2.42,2,1,3.01,Blockchain Developer,"Solidity, Ethereum, Node.js, Smart Contracts",excellent,auditory,qa engineer,onsite,poor,yes,12,aws
male,english,bachelor's degree,computer science,3.73,2,1,3.79,IoT Engineer,"Arduino, Raspberry Pi, C/C++, Cloud Integration",moderate,kinesthetic,qa engineer,onsite,excellent,yes,7,none
female,"english, sinhala, tamil",bachelor's degree,software engineering,3.5,3,2,2.81,Embedded Systems Engineer,"C/C++, Microcontrollers, Electronics, RTOS",excellent,kinesthetic,security engineer,onsite,poor,no,9,aws
female,"english, sinhala, tamil",bachelor's degree,computer science,2.09,2,1,3.25,AR/VR Developer,"3D Modeling, Unity, XR SDKs, Blender",moderate,kinesthetic,security engineer,hybrid,average,no,7,azure
female,sinhala,bachelor's degree,cyber security,3.61,4,2,3.46,SEO Specialist,"HTML, SEO Tools, Content Strategy, Google Analytics",excellent,visual,devops engineer,onsite,average,yes,3,none
female,english,bachelor's degree,information technology,2.89,1,2,2.85,IT Support Specialist,"Networking, Active Directory, Troubleshooting, Hardware",low,visual,security engineer,onsite,excellent,no,4,azure
female,"sinhala, tamil",bachelor's degree,information technology,2.27,4,1,2.5,Software Engineer,"Java, Spring Boot, SQL, Python",low,auditory,software engineer,hybrid,average,yes,3,aws
male,"tamil, english",bachelor's degree,information technology,3.49,2,1,3.03,Full Stack Developer,"REST API, JavaScript, React, Express",moderate,visual,qa engineer,remote,poor,yes,2,none
female,"english, sinhala, tamil",bachelor's degree,software engineering,2.39,1,1,3.69,Frontend Developer,"HTML, React, TypeScript, JavaScript",low,auditory,software engineer,onsite,average,no,4,azure
male,english,bachelor's degree,cyber security,3.31,2,2,3.32,Backend Developer,"Spring Boot, SQL, Java, Node.js",moderate,visual,data scientist,onsite,average,yes,9,aws
female,"english, sinhala, tamil",bachelor's degree,software engineering,2.84,4,1,3.8,Web Developer,"HTML, PHP, Bootstrap, MySQL",low,auditory,systems analyst,hybrid,poor,yes,2,azure
female,"english, sinhala",bachelor's degree,cyber security,2.62,3,2,3.08,Mobile App Developer,"Firebase, Flutter, Java, Kotlin",low,auditory,qa engineer,onsite,poor,no,7,none
female,"tamil, english",bachelor's degree,software engineering,3.07,1,2,2.82,Data Scientist,"NumPy, Machine Learning, Python, Tableau",moderate,kinesthetic,devops engineer,remote,poor,yes,9,none
male,"tamil, english",bachelor's degree,cyber security,3.56,3,1,2.29,Data Analyst,"Data Visualization, SQL, Statistics, Python",low,auditory,software engineer,onsite,poor,yes,12,aws
male,"english, sinhala",bachelor's degree,software engineering,3.54,1,2,2.82,Machine Learning Engineer,"TensorFlow, NumPy, Scikit-learn, Deep Learning",excellent,auditory,data scientist,onsite,poor,yes,11,aws
male,"tamil, english",bachelor's degree,cyber security,3.14,2,1,3.42,AI Engineer,"NLP, Data Processing, LLMs, PyTorch",excellent,visual,software engineer,onsite,excellent,yes,10,cisco
male,"english, sinhala, tamil",bachelor's degree,cyber security,2.54,3,2,3.13,BI Developer,"SQL, ETL Tools, DAX, Excel",low,kinesthetic,devops engineer,remote,poor,yes,2,cisco
female,english,bachelor's degree,computer science,3.37,1,1,2.75,DevOps Engineer,"CI/CD, Docker, Linux, Kubernetes",moderate,kinesthetic,devops engineer,remote,poor,no,4,google
male,english,bachelor's degree,software engineering,3.19,1,1,2.25,Cloud Engineer,"AWS, Terraform, Docker, Azure",excellent,auditory,devops engineer,remote,excellent,no,3,azure
male,"sinhala, tamil",bachelor's degree,cyber security,2.73,1,1,2.69,Cloud Architect,"Networking, AWS/Azure Design, Security, IaC",excellent,kinesthetic,data scientist,hybrid,excellent,no,4,azure
male,tamil,bachelor's degree,computer science,3.24,3,2,3.45,Cybersecurity Analyst,"Risk Analysis, Firewalls, SIEM, Linux",low,kinesthetic,systems analyst,hybrid,poor,yes,7,cisco
female,"tamil, english",bachelor's degree,data science,2.98,3,1,3.39,Ethical Hacker,"Metasploit, Burp Suite, Nmap, Python",low,kinesthetic,software engineer,hybrid,poor,no,10,azure
female,sinhala,bachelor's degree,computer science,4.0,3,1,3.99,Security Engineer,"Encryption, Linux, IAM, Cloud Security",low,visual,systems analyst,remote,average,yes,11,cisco
female,"english, sinhala",bachelor's degree,computer science,3.27,1,2,3.77,Information Security Analyst,"SIEM, Compliance, SOC Tools, Incident Response",moderate,kinesthetic,devops engineer,onsite,excellent,yes,9,aws
male,"tamil, english",bachelor's degree,cyber security,3.1,3,1,3.31,Network Engineer,"Firewalls, Routing, Switching, Cisco",moderate,auditory,devops engineer,onsite,average,yes,10,aws
female,"english, sinhala",bachelor's degree,computer science,3.48,1,2,2.33,System Administrator,"Bash, Linux, Virtualization, Windows Server",moderate,auditory,devops engineer,onsite,poor,yes,7,google
female,"tamil, english",bachelor's degree,software engineering,3.64,3,1,2.31,IT Support Engineer,"Windows, Troubleshooting, Active Directory, Networking",moderate,auditory,software engineer,remote,excellent,yes,11,azure
female,sinhala,bachelor's degree,data science,2.19,2,1,3.91,Hardware Engineer,"Embedded C, Electronics, Microcontrollers, Circuit Design",excellent,auditory,qa engineer,hybrid,excellent,no,10,aws
male,sinhala,bachelor's degree,software engineering,3.09,3,2,2.4,QA Engineer,"Selenium, SQL, Test Cases, Jira",excellent,kinesthetic,qa engineer,hybrid,excellent,yes,11,aws
female,tamil,bachelor's degree,data science,3.56,2,2,2.45,Software Tester,"Bug Tracking, SQL, Test Plans, Agile",excellent,kinesthetic,systems analyst,onsite,excellent,yes,3,cisco
female,english,bachelor's degree,software engineering,3.09,1,1,2.84,Automation Test Engineer,"CI/CD, TestNG, Java, Selenium",moderate,kinesthetic,software engineer,onsite,average,yes,3,google
male,"sinhala, tamil",bachelor's degree,information technology,2.34,4,1,2.57,UI Designer,"Prototyping, Photoshop, UI Principles, Figma",excellent,auditory,data scientist,onsite,excellent,yes,1,cisco
male,"english, sinhala",bachelor's degree,data science,2.9,3,2,3.77,UX Designer,"UX Testing, Figma, User Research, Psychology",low,visual,data scientist,remote,excellent,yes,1,cisco
female,english,bachelor's degree,software engineering,3.24,4,2,3.02,Product Designer,"User Flow, Design Systems, UI Design, Prototyping",moderate,auditory,security engineer,hybrid,average,no,8,aws
male,"english, sinhala, tamil",bachelor's degree,data science,3.49,3,2,2.38,Blockchain Developer,"Solidity, Cryptography, Ethereum, Node.js",moderate,kinesthetic,systems analyst,onsite,excellent,no,7,none
male,tamil,bachelor's degree,computer science,3.57,4,1,2.74,IoT Engineer,"Arduino, C/C++, Raspberry Pi, Sensors",excellent,kinesthetic,security engineer,hybrid,excellent,no,6,google
male,"sinhala, tamil",bachelor's degree,data science,3.72,4,1,2.69,Embedded Systems Engineer,"RTOS, PCB Design, C/C++, Microcontrollers",excellent,kinesthetic,devops engineer,onsite,excellent,no,4,none
male,"tamil, english",bachelor's degree,cyber security,3.96,1,2,3.0,AR/VR Developer,"C#, Unreal Engine, 3D Modeling, Unity",low,auditory,software engineer,remote,average,no,4,none
male,english,bachelor's degree,software engineering,3.32,3,2,2.44,SEO Specialist,"SEO Tools, HTML, Keyword Research, Content Strategy",moderate,auditory,qa engineer,remote,excellent,no,0,none
female,"english, sinhala",bachelor's degree,cyber security,3.46,2,2,3.32,IT Support Specialist,"Active Directory, Networking, Troubleshooting, Hardware",excellent,visual,devops engineer,hybrid,excellent,no,6,aws
male,english,bachelor's degree,software engineering,2.34,4,2,2.5,Software Engineer,"Git, SQL, OOP, Python",excellent,auditory,software engineer,remote,average,yes,3,none
female,"english, sinhala, tamil",bachelor's degree,computer science,2.08,1,1,3.13,Full Stack Developer,"Node.js, REST API, Express, MongoDB",moderate,auditory,qa engineer,hybrid,excellent,no,4,cisco
male,english,bachelor's degree,software engineering,2.55,3,1,2.98,Frontend Developer,"TypeScript, CSS, HTML, React",low,visual,qa engineer,hybrid,excellent,no,8,azure
male,"tamil, english",bachelor's degree,computer science,3.53,1,1,2.84,Backend Developer,"REST API, Java, Microservices, SQL",moderate,visual,data scientist,onsite,poor,no,4,aws
female,"english, sinhala",bachelor's degree,data science,3.6,2,2,3.79,Web Developer,"JavaScript, HTML, Bootstrap, CSS",moderate,kinesthetic,software engineer,hybrid,average,no,4,none
female,"sinhala, tamil",bachelor's degree,cyber security,4.0,2,2,2.9,Mobile App Developer,"Java, Firebase, REST API, Kotlin",low,visual,systems analyst,remote,poor,yes,4,aws
female,sinhala,bachelor's degree,cyber security,2.55,1,2,2.72,Data Scientist,"Tableau, Machine Learning, Python, Pandas",moderate,auditory,devops engineer,remote,poor,no,6,azure
female,"english, sinhala",bachelor's degree,data science,2.46,3,1,3.75,Data Analyst,"Excel, Power BI, Python, SQL",low,visual,qa engineer,remote,average,no,0,azure
female,"english, sinhala, tamil",bachelor's degree,computer science,3.58,4,1,3.11,Machine Learning Engineer,"Pandas, Python, NumPy, Scikit-learn",low,kinesthetic,data scientist,hybrid,excellent,no,10,google
male,tamil,bachelor's degree,cyber security,3.64,2,2,2.82,AI Engineer,"Python, PyTorch, Data Processing, TensorFlow",low,kinesthetic,software engineer,onsite,poor,no,0,azure
female,sinhala,bachelor's degree,information technology,3.19,1,2,3.42,BI Developer,"ETL Tools, Power BI, SQL, Tableau",low,auditory,systems analyst,onsite,excellent,yes,12,cisco
female,sinhala,bachelor's degree,data science,3.72,4,2,2.86,DevOps Engineer,"AWS, Jenkins, Kubernetes, Linux",excellent,visual,data scientist,remote,poor,yes,2,none
female,"english, sinhala, tamil",bachelor's degree,data science,3.21,4,1,3.06,Cloud Engineer,"AWS, Terraform, Kubernetes, Docker",moderate,auditory,systems analyst,remote,average,yes,1,google
female,"sinhala, tamil",bachelor's degree,data science,2.84,2,2,3.93,Cloud Architect,"IaC, Networking, Microservices, Security",excellent,kinesthetic,security engineer,onsite,poor,no,9,aws
