Gender,District_Location,Education_Stream,Soft_Skills,Key_Skils,Current_semester,GPA,Experties_Preferred_GPA,Experties_preferred_tech_skills,Experties_preferred_Skills,Experties_Preferred_Career_Field,English_score,Ocean_Openness,Ocean_Conscientiousness,Ocean_Extraversion,Ocean_Agreeableness,Ocean_Neuroticism,Riasec_Realistic,Riasec_Investigative,Riasec_Artistic,Riasec_Social,Riasec_Enterprising,Riasec_Conventional,Learning_Style,Course_Recommendation,University_Recommendation,Skill_Gap_Score,Feedback_Score,Data_Consent,Timestamp
Female,Kalutara,Bio Stream,"Teamwork, Collaboration, Reliability","Node.js, NestJS, TypeScript, PostgreSQL, GraphQL, Docker",1Y2S,1.9,3,"HTML5, CSS3, JavaScript, React.js, Git;","Problem Solving, Breaks Every Code",Data Science & Analytics,99,1,1,2,1,4,8,7,10,3,3,10,Visual,,,,,,
Female,Kilinochchi,Bio Stream,"Critical Thinking, Research Skills, Objectivity","TensorFlow, PyTorch, MLflow, Docker, AWS",1Y2S,4,3.2,"Git, Docker Desktop","Teamwork, Supportive Ally",Data Science & Analytics,63,5,3,2,3,1,2,9,10,4,3,10,Kinesthetic,,,,,,
Other,Galle,Bio Stream,"Critical Thinking, 9000 IQ","Java, Spring Boot, Hibernate, PostgreSQL, REST, Maven",2Y1S,4.9,3.2,"HTML, CSS, React.js, Node.js","Public Speaking, Engaging Voice",DevOps / Cloud Engineer,84,1,2,1,3,1,7,5,1,4,2,4,Visual,,,,,,
Male,Ratnapura,Arts Stream,"Problem Solving, World Changing, Revolutionary","Java, Spring Boot, Microservices, Docker, Maven",1Y2S,2.4,3,"Java, Python, Spring Boot, Git, Docker","Emotional Intelligence, Awareness, Control;",Data Science & Analytics,49,2,2,1,5,4,10,3,6,4,6,3,Visual,,,,,,
Male,Gampaha,Maths Stream,"Problem Solving, Strategic Thinking, Foresight","HTML, CSS, React.js",1Y2S,1,3.3,"Figma, Canva, Prototyping","Emotional Intelligence, Empathy, Social Skills;",Mobile App Developer,73,4,2,2,1,3,7,9,7,10,7,10,Kinesthetic,,,,,,
Male,Kurunegala,Bio Stream,"Leadership, Inspiring Guide","Node.js, Express.js, MongoDB, Mongoose, JWT, Docker, Git",2Y1S,1.8,3,"Figma, Prototyping, User Testing, Design Thinking;","Time Management, Always On Track",DevOps / Cloud Engineer,64,3,2,1,2,1,9,7,9,8,5,6,Mixed (Visual + Kinesthetic),,,,,,
Female,Matale,Maths Stream,"Emotional Intelligence, Compassion Engine","Python, Scikit-learn, Pandas, XGBoost, Feature Engineering",1Y2S,3.5,3.2,"Python, Google Colab, Pandas, Matplotlib","Adaptability, Flexibility, Learning Agility",Mobile App Developer,73,5,4,4,3,5,3,2,4,2,4,7,Mixed (Read/Write + Kinesthetic),,,,,,
Male,Nuwara Eliya,Bio Stream,"Leadership, Motivational","Python, Google Colab, Jupyter Notebook, Pandas, Matplotlib",1Y2S,2.7,3.2,"Python, Google Colab","Leadership, Empowerment, Growth;",Data Science & Analytics,92,5,1,5,5,2,1,10,5,1,9,8,Read/Write,,,,,,
Male,Ratnapura,Commerce Stream,"Emotional Intelligence, Soul Reader","Figma, User Flows, Prototyping, Accessibility, A/B Testing",1Y2S,3.7,2.8,"Python, Scikit-learn, XGBoost, SQL, Model Deployment","Emotional Intelligence, Emotionally Aware",Frontend / Web Developer,82,4,3,1,2,2,10,8,7,10,1,5,Read/Write,,,,,,
Female,Kegalle,Bio Stream,"Time Management, Perfect","Figma, Wireframing, Prototyping, User Flows, A/B Testing",1Y1S,1.1,3.2,"Node.js, Express.js, MongoDB","Critical Thinking, Genius",Mobile App Developer,85,3,4,5,5,4,8,8,5,10,7,8,Kinesthetic,,,,,,
Female,Badulla,Arts Stream,"Teamwork, Collaboration, Empathy","Java, VS Code, Git, MySQL",2Y2S,1.9,3.3,"Wireshark, Nmap, Burp Suite, Python, Vulnerability Assessment","Problem Solving, Calm Problem Breaker",DevOps / Cloud Engineer,96,4,2,5,2,1,7,3,1,1,4,1,Visual,,,,,,
Male,Mannar,Maths Stream,"Communication, Pure Love","Python, Google Colab",3Y1S,4,3.2,"HTML, CSS, React.js, Node.js","Critical Thinking, Insight, Brilliance;",Data Science & Analytics,54,3,5,3,3,5,4,7,6,2,9,2,Aural,,,,,,
Female,Jaffna,Commerce Stream,"Problem Solving, Strategy, Insight","Python, Google Colab",1Y1S,3.4,3.3,"TensorFlow, Keras, PyTorch, OpenCV, NLP","Leadership, Transformation, Impact;",Mobile App Developer,83,1,2,1,1,3,1,9,4,3,3,6,Visual,,,,,,
Male,Batticaloa,Commerce Stream,"Emotional Intelligence, Awareness, Control","SQL, Python (Pandas), Tableau, Power BI, Data Warehousing, Statistics, Looker Basics",1Y1S,1.5,3,"TensorFlow, Keras, PyTorch, Docker, FastAPI;","Time Management, Precision Timing",DevOps / Cloud Engineer,90,4,2,5,2,1,3,2,10,9,5,3,Visual,,,,,,
Other,Badulla,Maths Stream,"Communication, Emotional Intelligence, Networking","Figma, Canva",1Y2S,4.5,3.2,"SQL, Excel, Power BI (Basic), Google Sheets","Communication, Divine Connection",Data Science & Analytics,62,1,4,1,5,2,5,4,4,7,4,5,Kinesthetic,,,,,,
Male,Nuwara Eliya,Maths Stream,"Teamwork, Unity, Camaraderie","Python, Pandas",2Y2S,4.4,3.2,"Java, VS Code, Git, MySQL","Time Management, Scheduling, Reliability;",Mobile App Developer,88,2,4,1,2,3,2,4,8,4,8,5,Visual,,,,,,
Female,Trincomalee,Arts Stream,"Leadership, Inspires Others","TensorFlow, PyTorch, OpenCV, NLP (Transformers), Docker, FastAPI, MLflow",2Y1S,3.4,3.2,"Flutter, Dart","Teamwork, Planet-Level Cooperation",Data Science & Analytics,76,2,4,3,1,4,6,4,5,10,10,10,Visual,,,,,,
Male,Kandy,Commerce Stream,"Problem Solving, Logic, Reasoning","HTML, CSS, React.js, Node.js",1Y2S,2,3.3,"Kubernetes, Helm, Prometheus, GitOps, Bash","Time Management, Planning, Goal Setting;",DevOps / Cloud Engineer,99,1,2,2,2,3,5,4,5,3,5,9,Visual,,,,,,
Male,Mannar,Commerce Stream,"Teamwork, Positive Collaborator","HTML, CSS, JavaScript, React.js, Bootstrap, Git",2Y2S,2.6,3.2,"HTML, CSS, React.js, Node.js, Express.js","Public Speaking, Engaging Speaker",Frontend / Web Developer,73,3,3,4,2,3,9,1,5,1,9,9,Read/Write,,,,,,
Female,Galle,Bio Stream,"Public Speaking, Storytelling Genius","SQL, Python, Power BI, Excel Advanced, Statistics, Data Modeling, ETL Basics",1Y1S,4.8,3.2,"React.js, Node.js, Express.js, MongoDB, TypeScript;","Leadership, Iconic",DevOps / Cloud Engineer,50,1,2,3,1,5,1,3,2,5,2,3,Kinesthetic,,,,,,
Female,Kegalle,Maths Stream,"Communication, Crystal Clear Voice","Python, R, Scikit-learn, Feature Engineering",1Y1S,2.9,3,"Java, Python, Spring Boot, Git, Docker","Communication, Skilled Conversationalist",Software Engineer / Backend,53,1,1,3,1,5,8,6,7,1,1,3,Visual,,,,,,
Other,Monaragala,Technology Stream,"Teamwork, Reliable Support","HTML, CSS, React.js, Node.js",2Y2S,1,3.3,"Flutter, Dart, Firebase Auth, Bloc, Push Notifications;","Communication, Rapport Building, Approachability;",DevOps / Cloud Engineer,89,5,3,3,5,2,8,6,9,1,1,1,Visual,,,,,,
Male,Badulla,Arts Stream,"Creativity, Pure Genius","Docker Desktop, Git",1Y2S,2.2,3.3,"Figma, Prototyping, User Flows, Design Thinking","Communication, Polished & Professional",Frontend / Web Developer,71,2,1,4,2,4,7,9,3,10,3,4,Read/Write,,,,,,
Female,Matara,Bio Stream,"Adaptability, Flexibility, Learning Agility","Figma, Adobe XD, Wireframing, User Testing, Design Systems, HTML/CSS Basics",1Y2S,3.4,3,"PyTorch, TensorFlow, MLflow, Docker, FastAPI","Leadership, Delegation, Trust;",UI/UX Designer,78,4,4,1,4,2,4,8,9,5,9,4,Visual,,,,,,
Other,Gampaha,Technology Stream,"Presentation Skills, God Speaker","Python Scripting, Metasploit, Kali Linux, Network Security, Penetration Testing, SIEM",2Y2S,1.1,3.2,"React.js, Bootstrap, Git, JavaScript, HTML/CSS","Leadership, Emerging Leader",UI/UX Designer,93,2,2,5,3,5,6,9,5,7,2,1,Kinesthetic,,,,,,
Male,Badulla,Bio Stream,"Teamwork, Unity, Strength","Python, Excel, Matplotlib",1Y1S,4.9,3.3,"Java, Spring Boot, Microservices, Docker, Maven","Critical Thinking, Insight, Brilliance;",Data Science & Analytics,75,1,5,5,4,3,3,2,10,5,7,5,Mixed (Visual + Kinesthetic),,,,,,
Female,Gampaha,Commerce Stream,"Creativity, Vision Generator","Flutter, Dart, VS Code, Firebase",1Y2S,1.5,3.3,"Java, Python, Spring Boot, Git, Docker;","Time Management, Work Ethic, Attention to Detail",Frontend / Web Developer,64,5,3,4,4,4,6,8,5,10,5,8,Kinesthetic,,,,,,
Female,Kalutara,Maths Stream,"Emotional Intelligence, Heart of Gold","Wireshark, Kali Linux, Python, Ethical Hacking",2Y1S,2.2,3.2,"Flutter, Dart, Firebase, Riverpod, REST APIs","Adaptability, Changes Instantly",DevOps / Cloud Engineer,58,3,4,3,1,4,7,8,10,2,8,8,Kinesthetic,,,,,,
Male,Kalutara,Technology Stream,"Communication, Divine, Cosmic","MERN Stack, Redux, Docker, Git, Postman",1Y2S,3.5,3.3,"HTML5, CSS3, React.js, Bootstrap, JavaScript;","Communication, Crystal Clear Voice",Data Science & Analytics,42,5,3,4,1,1,6,8,3,9,5,6,Visual,,,,,,
Female,Anuradhapura,Maths Stream,"Adaptability, Unbreakable","HTML5, CSS3, React.js, Bootstrap, Git, JavaScript",1Y1S,4,3.2,"Python, Burp Suite, Kali Linux, Ethical Hacking","Communication, Clarity, Confidence;",DevOps / Cloud Engineer,88,4,3,2,2,5,6,2,3,3,3,7,Visual,,,,,,
Male,Jaffna,Commerce Stream,"Emotional Intelligence, Deep Empathy","Kali Linux, Wireshark, Nmap, Burp Suite, Python Scripting, Ethical Hacking, OWASP Top 10",1Y2S,1.3,3.3,"Python, Scikit-learn, Pandas, XGBoost, Hyperparameter Tuning;","Creativity, Imagination, Ideation;",Data Science & Analytics,55,2,2,2,4,4,8,4,2,10,5,2,Kinesthetic,,,,,,
Female,Nuwara Eliya,Maths Stream,"Public Speaking, Articulation, Conviction","HTML, CSS, JavaScript, React.js",1Y2S,4,3,"AWS EC2, S3, Lambda, VPC, IAM","Creativity, Imagination, Ideation;",DevOps / Cloud Engineer,94,2,2,1,5,3,1,3,5,10,3,3,Kinesthetic,,,,,,
Female,Galle,Technology Stream,"Presentation Skills, Professional Delivery","Python, Metasploit, Wireshark, OWASP",2Y1S,2.1,3.3,"SQL, Python, Tableau, Power BI, Data Visualization","Emotional Intelligence, Heart of Gold",Data Science & Analytics,68,5,5,5,2,3,4,1,8,2,8,4,Aural,,,,,,
Male,Nuwara Eliya,Maths Stream,"Communication, Skilled Conversationalist","AWS Lambda, DynamoDB, API Gateway, CDK",1Y2S,2.7,3.3,"Python, Pandas, Jupyter","Communication, Clear Communicator",Frontend / Web Developer,81,5,2,5,1,5,2,1,8,1,3,1,Visual,,,,,,
Male,Ampara,Maths Stream,"Teamwork, One Heart, One Soul","Python, Java, Git, MySQL, Spring Boot, Docker, Algorithms",1Y1S,4.5,3.2,"Python, Scikit-learn, Pandas, Model Evaluation, SQL;","Time Management, Deadline-Oriented, Discipline;",UI/UX Designer,70,1,1,1,3,5,2,9,2,10,2,3,Kinesthetic,,,,,,
Male,Monaragala,Maths Stream,"Creativity, Innovative Mindset","React.js, Next.js, TypeScript, Vercel, Git",1Y2S,2.4,3.3,"Python, FastAPI, PostgreSQL, Docker, SQLAlchemy;","Emotional Intelligence, Empathy, Social Skills;",Data Science & Analytics,84,3,5,5,5,5,3,6,1,4,8,8,Kinesthetic,,,,,,
Male,Polonnaruwa,Commerce Stream,"Public Speaking, Persuasion, Impact","TryHackMe, Nmap, Kali Linux Basics",1Y1S,4.2,3,"Python, Java, OOP, Data Structures & Algorithms, Git","Emotional Intelligence, Cosmic Empathy",DevOps / Cloud Engineer,48,1,2,5,2,1,3,8,9,7,4,4,Visual,,,,,,
Female,Puttalam,Bio Stream,"Public Speaking, Inspires Crowds","Python, Jupyter",1Y2S,4.8,3.2,"Adobe XD, Figma, Framer, User Research, Design Thinking;","Creativity, Revolution, Change;",Data Science & Analytics,84,3,5,4,5,4,8,3,9,6,1,2,Aural,,,,,,
Female,Mullaitivu,Commerce Stream,"Communication, Always Clear","AWS, Docker, Kubernetes, Jenkins, Terraform, Bash, CI/CD",2Y2S,4.2,3,"Flutter, Dart, Android Studio","Leadership, Vision, Boldness;",Data Science & Analytics,47,1,5,1,1,4,1,3,3,4,1,9,Kinesthetic,,,,,,
Male,Colombo,Bio Stream,"Critical Thinking, Logic, Clarity","AWS EC2, Lambda, S3, DynamoDB, API Gateway, CDK, Terraform",1Y1S,1,3,"Java, Spring Boot, Kafka, REST APIs, JUnit","Teamwork, Collaboration, Reliability",DevOps / Cloud Engineer,61,1,1,5,1,1,3,3,7,7,5,2,Kinesthetic,,,,,,
Female,Trincomalee,Technology Stream,"Presentation Skills, Storytelling, Engagement","Figma, Canva, Basic Prototyping",2Y2S,1.1,3.2,"SQL, Power BI, Python, Statistics, Tableau","Teamwork, Coordination, Harmony;",DevOps / Cloud Engineer,77,2,1,3,4,1,3,4,5,9,4,10,Visual,,,,,,
Female,Matale,Bio Stream,"Adaptability, Flexibility, Learning Agility","Java, Spring Boot, Kafka, PostgreSQL, JUnit",1Y2S,4.4,3.2,"AWS Free Tier, EC2, S3, IAM, AWS Console","Time Management, Planning, Goal Setting;",DevOps / Cloud Engineer,60,4,1,5,2,1,1,7,5,2,5,2,Kinesthetic,,,,,,
Female,Galle,Bio Stream,"Public Speaking, Teamwork, Adaptability","AWS Free Tier, EC2, S3",1Y2S,4.8,3,"AWS Free Tier, EC2, S3, IAM, AWS Console","Creativity, Originality, Artistry;",Data Science & Analytics,57,1,5,4,4,1,4,4,7,4,4,2,Kinesthetic,,,,,,
Female,Badulla,Commerce Stream,"Emotional Intelligence, Deep Empathy","Java, Python, Spring Boot, MySQL, Git, RESTful APIs, Docker, JUnit, Postman",2Y2S,3.5,3.2,"AWS EC2, VPC, IAM, CloudWatch, Route53","Time Management, Prioritizes Perfectly",Data Science & Analytics,42,4,3,3,3,1,5,4,6,1,5,1,Aural,,,,,,
Male,Kegalle,Bio Stream,"Time Management, Perfection, Legacy","Figma, Wireframing",2Y1S,4.4,3,"Python, Pandas","Time Management, Clock Commander",AI / Machine Learning Engineer,97,5,2,4,3,2,1,9,8,8,8,7,Read/Write,,,,,,
Male,Kalutara,Bio Stream,"Creativity, Original Thinker","Python, Google Colab, Scikit-learn",2Y1S,3,3.3,"Python, Django, Git, PostgreSQL, Celery","Emotional Intelligence, Grounded & Aware",Data Science & Analytics,92,1,2,3,1,4,5,6,2,2,4,9,Aural,,,,,,
Male,Ampara,Maths Stream,"Time Management, Always Meets Deadlines",AWS EC2,1Y2S,1,3.3,"AWS, Terraform, CloudFormation, Lambda, S3;","Communication, Warm Communicator",Frontend / Web Developer,55,2,3,4,3,5,2,1,4,1,1,1,Mixed (Visual + Read/Write),,,,,,
Male,Kandy,Maths Stream,"Emotional Intelligence, Empathy, Care","Python, Django, PostgreSQL, Git, Docker, Celery, Redis",1Y2S,3.9,3,"TensorFlow, Keras, PyTorch, Docker, MLflow;","Leadership, Quiet Authority",Mobile App Developer,58,4,2,1,3,4,2,2,5,3,2,6,Kinesthetic,,,,,,
Male,Badulla,Arts Stream,"Teamwork, One Heart, One Soul","Java, Spring Boot, Hibernate, PostgreSQL, REST, Maven",1Y2S,4.8,3,"HTML5, CSS3, JavaScript ES6+, React.js, Tailwind CSS ","Time Management, Work Ethic, Attention to Detail",AI / Machine Learning Engineer,68,4,4,4,5,3,2,7,6,9,10,3,Kinesthetic,,,,,,
Male,Hambantota,Bio Stream,"Critical Thinking, Adaptability, Self-Motivation","Node.js, Postman",2Y1S,4.8,3.3,"AWS, Terraform, CloudFormation, Lambda, S3;","Problem Solving, Troubleshooting, Ingenuity;",Data Science & Analytics,83,2,5,4,4,4,5,6,6,4,2,7,Visual,,,,,,
Male,Kegalle,Technology Stream,"Emotional Intelligence, Highly Empathetic","Kali Linux, TryHackMe",1Y2S,3.7,3.3,"AWS Free Tier, S3, EC2, IAM Basics, AWS Console","Emotional Intelligence, Emotionally Mature",Data Science & Analytics,90,1,1,4,3,5,1,4,3,5,3,4,Kinesthetic,,,,,,
Male,Mannar,Maths Stream,"Emotional Intelligence, Enlightenment, Peace","Figma, Wireframing, Prototyping, Design Systems",1Y2S,3.7,3.3,"Java, VS Code","Public Speaking, Confidence, Articulation;",DevOps / Cloud Engineer,89,5,5,5,5,4,3,7,7,9,4,7,Read/Write,,,,,,
Male,Hambantota,Arts Stream,"Emotional Intelligence, Grounded & Aware","Adobe XD, Figma, Framer, User Research",2Y2S,2,3.2,"Flutter, Dart, Android Studio","Time Management, Steady Workflow",Data Science & Analytics,87,4,5,4,4,4,2,5,8,2,4,9,Read/Write,,,,,,
Male,Matale,Maths Stream,"Public Speaking, Persuasion, Impact","Figma, Canva, Prototyping",1Y1S,3.5,3.2,"Python Scripting, Metasploit, Kali Linux, SIEM","Public Speaking, Stage Dominator",DevOps / Cloud Engineer,89,2,3,1,1,1,6,1,8,4,3,5,Kinesthetic,,,,,,
Male,Anuradhapura,Technology Stream,"Presentation Skills, Unforgettable","Git, Docker Desktop, Basic Linux Commands, VS Code, GitHub",2Y1S,1.3,3.3,"PyTorch, TensorFlow, MLflow, Docker, FastAPI","Critical Thinking, Evaluation, Judgment;",Data Science & Analytics,99,5,3,3,2,4,5,10,3,5,2,5,Visual,,,,,,
Female,Colombo,Maths Stream,"Communication, Active Listening, Respect","MERN Stack, Docker, Git, Redux, MongoDB, Express",1Y2S,2.4,2.8,"React.js, Node.js, Express.js, MongoDB, Redux","Emotional Intelligence, Heart of Gold",Software Engineer / Backend,43,3,4,1,1,1,10,3,1,4,5,2,Visual,,,,,,
Female,Vavuniya,Arts Stream,"Public Speaking, Persuasion, Impact","Flutter, Dart, Firebase Auth, GetX/Bloc, Push Notifications, Google Maps, In-app Purchase",2Y2S,1.3,3.3,"Python, Django, Git, PostgreSQL, Docker;","Teamwork, Unites Every Team",Data Science & Analytics,59,4,4,1,1,3,3,5,5,1,7,6,Aural,,,,,,
Male,Matara,Maths Stream,"Creativity, Artistic Spark","Flutter, Dart, Firebase, Riverpod, REST APIs, Hive/Sqflite, App Deployment",2Y1S,3.2,2.8,"SQL, Excel","Problem Solving, Resourcefulness, Proactivity;",Data Science & Analytics,49,4,5,2,5,3,6,7,7,9,8,4,Kinesthetic,,,,,,
Female,Gampaha,Commerce Stream,"Creativity, Out-of-Box Thinking, Vision","Python Scripting, Metasploit, Kali Linux, Network Security, Penetration Testing, SIEM",2Y1S,4.4,3.2,"TensorFlow, Keras, PyTorch, OpenCV, NLP","Emotional Intelligence, Self-Control, Awareness;",Mobile App Developer,79,1,4,4,1,1,2,1,3,9,3,5,Visual,,,,,,
Male,Jaffna,Commerce Stream,"Critical Thinking, Adaptability, Self-Motivation","Node.js, Express.js",2Y2S,3,3.3,"AWS EC2, S3, Lambda, VPC, IAM","Time Management, Efficient Worker",IT / Technology Generalist,64,5,4,5,5,4,1,4,5,9,9,1,Kinesthetic,,,,,,
Other,Badulla,Commerce Stream,"Adaptability, Shapeshifts to Any Situation","React.js, Node.js, Express.js, MongoDB, Redux",2Y2S,3.4,3.3,"Python, Django, Git, PostgreSQL, Celery","Emotional Intelligence, Empathy, Social Skills;",Mobile App Developer,80,1,4,1,2,1,3,4,7,10,8,5,Read/Write,,,,,,
Other,Vavuniya,Maths Stream,"Communication, Active Listener","SQL, Python (Pandas, NumPy), Power BI, Tableau, DAX, Data Cleaning, Statistics",2Y1S,2,3.2,"MERN Stack, TypeScript, Docker, Git, Firebase","Communication, Expression, Authenticity;",Frontend / Web Developer,77,1,5,5,2,4,7,3,8,9,2,6,Read/Write,,,,,,
Male,Batticaloa,Maths Stream,"Public Speaking, Engaging Speaker","Figma, Adobe XD, Wireframing, User Testing, Design Systems, HTML/CSS Basics",2Y2S,4.8,3.3,"SQL, Python, Power BI, DAX, Excel;","Leadership, Inspiration, Empowerment;",Data Science & Analytics,80,4,5,1,4,3,1,8,8,7,2,3,Visual,,,,,,
Other,Gampaha,Arts Stream,"Creativity, Vision Generator","Python, Django/Flask, PostgreSQL, Git, Docker, REST APIs, Celery, Redis",1Y1S,2.7,3.2,"Kali Linux Basics, Nmap, TryHackMe","Critical Thinking, Insight, Perception;",IT / Technology Generalist,75,2,2,2,4,4,3,3,3,7,4,1,Visual,,,,,,
Male,Hambantota,Arts Stream,"Leadership, Problem Solving, Critical Thinking","Flutter, Dart, VS Code",1Y2S,4.9,3.2,"Kali Linux Basics, Nmap","Problem Solving, Limitless Reasoning",Data Science & Analytics,97,5,2,5,4,3,5,5,5,6,7,2,Visual,,,,,,
Female,Mannar,Bio Stream,"Problem Solving, Fixes Reality","Python Scripting, Metasploit, Kali Linux, Network Security, Penetration Testing, SIEM",1Y2S,2.1,3,"Java, Spring Boot, Git, MySQL, Docker;","Emotional Intelligence, Emotion-Tuned",Mobile App Developer,99,1,4,5,5,5,9,9,6,6,8,10,Visual,,,,,,
Male,Kandy,Technology Stream,"Leadership, Delegation, Conflict Management","Flutter, Dart, Firebase, Provider/Bloc/Riverpod, REST APIs, Git, State Management, App Publishing",1Y1S,2.4,3.3,"Python, Scikit-learn, Pandas, Jupyter, SQL;","Time Management, Perfectly Timed",Data Science & Analytics,80,5,4,4,3,2,3,5,6,2,1,3,Visual,,,,,,
Female,Ratnapura,Bio Stream,"Adaptability, Adjusts Like Water","AWS Free Tier, S3, EC2, IAM Basics, AWS Console",2Y2S,1.5,3,"AWS Lambda, DynamoDB, API Gateway, CDK","Emotional Intelligence, Exceptional",Mobile App Developer,89,5,1,5,3,2,9,3,8,6,2,6,Visual,,,,,,
Male,Galle,Technology Stream,"Communication, Clear Communicator","SQL, Python, Tableau, Power BI, Data Visualization",2Y2S,4.9,3,"Git, Docker Desktop, VS Code","Communication, Writing Skills, Listening;",Frontend / Web Developer,71,1,5,2,1,4,6,10,7,6,3,7,Read/Write,,,,,,
Female,Gampaha,Maths Stream,"Teamwork, Cooperation, Loyalty","Java, Python, Microservices, Docker, Git",2Y2S,1.3,3.2,"Flutter, Dart, Firebase Auth","Time Management, Always Meets Deadlines",DevOps / Cloud Engineer,67,2,1,1,3,1,5,3,2,10,5,10,Visual,,,,,,
Male,Ampara,Bio Stream,"Leadership, Motivator","HTML, CSS, React.js, Node.js, MongoDB",1Y1S,1.8,3,"React.js, Next.js, Tailwind CSS, TypeScript;","Creativity, Idea Generator",Data Science & Analytics,94,1,5,2,3,2,10,10,9,1,3,3,Visual,,,,,,
Female,Monaragala,Commerce Stream,"Problem Solving, Organised Solver","Kubernetes, Docker, Jenkins, Terraform, Linux",2Y2S,4.9,3.3,"Kubernetes, Docker, Helm, Prometheus, Linux","Creativity, Brainstorming, Originality;",DevOps / Cloud Engineer,69,1,2,4,3,1,10,6,7,3,7,6,Kinesthetic,,,,,,
Female,Batticaloa,Bio Stream,"Public Speaking, Storm of Confidence","React.js, Node.js, MongoDB, Express.js, Git",2Y1S,4.4,3.3,"Docker, Kubernetes, Jenkins, Terraform, CI/CD","Presentation Skills, Leadership, Decision Making",DevOps / Cloud Engineer,70,2,1,4,4,5,5,3,2,10,7,9,Visual,,,,,,
Male,Gampaha,Maths Stream,"Communication, Divine, Cosmic","SQL, Python, Tableau, Power BI, Data Visualization",2Y1S,2.2,3.2,"React.js, Node.js, Express.js, MongoDB, Git;","Problem Solving, Infinite Solver",Mobile App Developer,82,4,2,3,4,5,7,3,5,9,1,7,Visual,,,,,,
Female,Matale,Commerce Stream,"Time Management, Prioritization, Balance","Java, Spring Boot, MySQL, Git, REST APIs",1Y1S,1.8,3.2,"Java, Python, Spring Boot, Git, Docker","Leadership, Inspirational",Software Engineer / Backend,59,4,2,2,3,1,7,3,7,4,10,2,Visual,,,,,,
Male,Polonnaruwa,Technology Stream,"Time Management, Efficiency, Focus","React.js, Tailwind CSS, JavaScript, Responsive",1Y1S,3.9,3,"AWS Free Tier, S3, EC2","Problem Solving, Thoughtful Fixer",AI / Machine Learning Engineer,97,2,4,4,4,5,8,2,6,3,8,5,Kinesthetic,,,,,,
Female,Matara,Maths Stream,"Communication, Feedback Reception, Growth Mindset","HTML, CSS, JavaScript, React.js",2Y1S,2.6,3,"Figma, Adobe XD, Design Systems, User Testing, Accessibility;","Emotional Intelligence, Great People Skills",Data Science & Analytics,57,1,4,1,2,4,8,6,7,4,8,2,Visual,,,,,,
Female,Trincomalee,Bio Stream,"Leadership, Iconic","Java, Spring Boot, Git, MySQL, Docker",2Y2S,4.2,3,"HTML, CSS, JavaScript, React.js, Node.js","Teamwork, Fusion Energy",Data Science & Analytics,38,5,4,4,4,2,6,7,5,10,4,1,Kinesthetic,,,,,,
Male,Puttalam,Technology Stream,"Problem Solving, Action-Oriented Fixer","React.js, Node.js, Express.js, MongoDB, Git",2Y2S,1.5,3.3,"HTML, CSS, React.js, Node.js","Emotional Intelligence, Self-Regulation, Motivation;",Data Science & Analytics,77,3,3,4,5,5,9,7,1,5,4,8,Kinesthetic,,,,,,
Male,Trincomalee,Bio Stream,"Teamwork, Support, Encouragement","SQL, Python, Pandas, Power BI, Tableau, Excel (Pivot, VLOOKUP), Statistics, Data Visualization",2Y1S,2.9,3.2,"TensorFlow, PyTorch, Docker, AWS SageMaker","Communication, Respectful Speaker",DevOps / Cloud Engineer,86,4,3,5,2,1,10,5,2,5,10,3,Visual,,,,,,
Female,Mullaitivu,Maths Stream,"Critical Thinking, Deep Analyzer","Node.js, NestJS, TypeScript, PostgreSQL, GraphQL, Prisma, Docker",1Y2S,3.5,3.3,"AWS, Docker, Kubernetes, Terraform, Ansible","Teamwork, Collaboration, Empathy",Frontend / Web Developer,92,2,1,2,1,5,1,10,6,7,2,4,Kinesthetic,,,,,,
Female,Badulla,Bio Stream,"Emotional Intelligence, Soul Reader","Kubernetes, Docker, Terraform, AWS EKS, Prometheus, Grafana, ArgoCD, GitOps",1Y1S,2.9,3.3,"Kali Linux, Wireshark, Nmap, Python Scripting","Time Management, Prioritization, Balance;",DevOps / Cloud Engineer,70,5,2,1,2,1,4,2,6,3,9,6,Visual,,,,,,
Female,Kurunegala,Bio Stream,"Creativity, Highly Creative","HTML, CSS, JavaScript, React.js",1Y2S,1,3,"AWS EC2, RDS, CloudWatch, Route53, Terraform","Leadership, Encouraging Mentor",Mobile App Developer,94,3,2,3,2,3,1,7,9,8,3,4,Mixed (Visual + Aural),,,,,,
Female,Kilinochchi,Bio Stream,"Adaptability, Adjusts Like Water","AWS S3, EC2, Free Tier, IAM Basics",1Y1S,2.9,3.3,AWS Free Tier,"Communication, Clear & Respectful",Data Science & Analytics,96,5,3,4,3,1,2,7,8,4,3,5,Visual,,,,,,
Female,Matara,Bio Stream,"Communication, Clear Navigator","Python, Java, Git, Spring Boot, Docker",1Y2S,1.3,3.3,"HTML, CSS, JavaScript, React.js, Bootstrap","Communication, Respectful Speaker",AI / Machine Learning Engineer,63,3,1,1,4,4,4,1,2,5,9,2,Visual,,,,,,
Female,Anuradhapura,Bio Stream,"Communication, Flawless","Figma, Adobe XD, Wireframing, User Testing, Design Systems, HTML/CSS Basics",2Y1S,1.5,3,"Figma, Adobe XD, Wireframing, User Research, Design Systems;","Adaptability, Learning Mindset, Growth;",DevOps / Cloud Engineer,41,4,3,2,1,1,3,8,2,2,1,7,Visual,,,,,,
